"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"1393",1393,"03:54:36:01","03:54:46:01","Shot",1393,11,"Pacific",41,"Location 4","Perimeter","Normal","Left","Miss","Field Blocker",1,4,6,-2,5.5,-1.521692144,5.500518652,5.852349955,-0.348771004,"Not Goal"
"1394",1394,"03:54:46:21","03:54:56:21","Shot",1394,11,"Pacific",26,"Location 1","Direct","Skip","Right","Goal","Field Blocker",3,3,15,2,6.5,2.497728502,6.235794233,6.800735254,0.298498932,"Goal"
"1395",1395,"03:54:56:41","03:55:06:41","Shot",1395,10,"Marist",32,"Location 2","6 on 5","Normal","Right","Save","Field Blocker",3,3,NA,0,5.5,-0.010753141,5.028255902,5.5,0,"Not Goal"
"1396",1396,"03:55:06:61","03:55:16:61","Shot",1396,11,"Pacific",67,"Location 3","Center","Backhand","Right","Miss","Contested",1,3,3,1,4.5,0.891875129,4.863104779,4.609772229,0.218668946,"Not Goal"
"1397",1397,"03:55:16:81","03:55:26:81","Shot",1397,10,"Marist",61,"Location 1","6 on 5","Normal","Right","Miss","Pressured",1,2,NA,1,2.5,0.604143649,2.62252219,2.692582404,0.380506377,"Not Goal"
"1398",1398,"03:55:27:01","03:55:37:01","Shot",1398,11,"Pacific",61,"Off Target","Individual","Unknown","Right","Field Block","Contested",1,2,20,1,2.5,1.29687984,2.491080574,2.692582404,0.380506377,"Not Goal"
"1399",1399,"03:55:37:21","03:55:47:21","Shot",1399,11,"Pacific",62,"Location 6","Center","Normal","Right","Save","Field Blocker",2,2,3,0,2.5,-0.058763562,2.764436736,2.5,0,"Not Goal"
"1400",1400,"03:55:47:41","03:55:57:41","Shot",1400,10,"Marist",23,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",3,3,NA,2,5.5,2.219527991,5.5229845,5.852349955,0.348771004,"Goal"
"1401",1401,"03:55:57:61","03:56:07:61","Shot",1401,11,"Pacific",23,"Location 2","Perimeter","Skip","Right","Goal","Field Blocker",3,3,15,2,5.5,2.41672696,5.150730043,5.852349955,0.348771004,"Goal"
"1402",1402,"03:56:07:82","03:56:17:82","Shot",1402,10,"Marist",33,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",2,3,NA,-1,5.5,-1.097191482,5.80159093,5.590169944,-0.1798535,"Goal"
"1403",1403,"03:56:18:02","03:56:28:02","Shot",1403,11,"Pacific",33,"Location 4","Perimeter","Skip","Right","New Clock","Field Blocker",3,3,11,-1,5.5,-1.343880691,5.026280133,5.590169944,-0.1798535,"Not Goal"
"1404",1404,"03:56:28:22","03:56:38:22","Shot",1404,10,"Marist",51,"Location 4","Drive","Normal","Right","Goal","Contested",3,3,NA,-2,2.5,-2.340225068,2.693174168,3.201562119,-0.674740942,"Goal"
"1405",1405,"03:56:38:42","03:56:48:42","Shot",1405,11,"Pacific",35,"Location 2","Perimeter","Skip","Right","Miss","Field Blocker",1,4,11,0,6.5,0.141256977,6.429222287,6.5,0,"Not Goal"
"1406",1406,"03:56:48:62","03:56:58:62","Shot",1406,10,"Marist",41,"Location 5","Perimeter","Normal","Right","Goal","Field Blocker",2,4,NA,-2,5.5,-1.575892946,5.615060216,5.852349955,-0.348771004,"Goal"
"1407",1407,"03:56:58:82","03:57:08:82","Shot",1407,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,11,0,5.5,0.126081511,5.834699983,5.5,0,"Goal"
"1408",1408,"03:57:09:02","03:57:19:02","Shot",1408,10,"Marist",33,"Location 2","Perimeter","Normal","Right","Goal","Blocker at Distance",2,4,NA,-1,5.5,-0.713371826,5.562143641,5.590169944,-0.1798535,"Goal"
"1409",1409,"03:57:19:22","03:57:29:22","Shot",1409,11,"Pacific",57,"Location 2","Perimeter","Lob","Left","Miss","Field Blocker",1,4,12,-2,4.5,-2.44245927,4.943361197,4.924428901,-0.41822433,"Not Goal"
"1410",1410,"03:57:29:42","03:57:39:42","Shot",1410,10,"Marist",23,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,2,5.5,2.348470601,5.70241289,5.852349955,0.348771004,"Not Goal"
"1411",1411,"03:57:39:62","03:57:49:62","Shot",1411,10,"Marist",65,"Location 1","Center","Normal","Right","Save","Contested",3,3,NA,0,3.5,-0.434211328,3.018060614,3.5,0,"Not Goal"
"1412",1412,"03:57:49:82","03:57:59:82","Shot",1412,11,"Pacific",23,"Location 2","Perimeter","Normal","Right","Field Block","Blocker at Distance",1,3,20,2,5.5,2.484555279,5.154375633,5.852349955,0.348771004,"Not Goal"
"1413",1413,"03:58:00:02","03:58:10:02","Shot",1413,10,"Marist",31,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,1,5.5,1.021244445,5.226401768,5.590169944,0.1798535,"Not Goal"
"1414",1414,"03:58:10:22","03:58:20:22","Shot",1414,11,"Pacific",32,"Location 2","Penalty","Skip","Right","Goal","Other",5,1,16,0,5.5,-0.30736494,5.014663346,5.5,0,"Goal"
"1415",1415,"03:58:20:43","03:58:30:43","Shot",1415,11,"Pacific",69,"Location 5","Center","Skip","Right","Miss","Contested",1,2,3,-1,4.5,-1.229156493,4.259461969,4.609772229,-0.218668946,"Not Goal"
