"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"1",1,"00:00:00:10","00:00:10:10","Shot",1,11,"Michigan",32,"Location 5","Penalty","Skip","Right","Save","Other",5,1,3,0,5.5,0.131949838,5.311603842,5.5,0,"Not Goal"
"2",2,"00:00:10:30","00:00:20:30","Shot",2,11,"Pacific",61,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",4,2,3,1,2.5,0.986398512,2.948751425,2.692582404,0.380506377,"Goal"
"3",3,"00:00:20:50","00:00:30:50","Shot",3,11,"Michigan",23,"Location 4","Perimeter","Normal","Right","New Clock","Field Blocker",3,4,4,2,5.5,2.419834951,5.53506933,5.852349955,0.348771004,"Not Goal"
"4",4,"00:00:30:70","00:00:40:70","Shot",4,11,"Michigan",32,"Location 5","Perimeter","Normal","Right","Save","Pressured",2,4,10,0,5.5,0.216976711,5.748630729,5.5,0,"Not Goal"
"5",5,"00:00:40:90","00:00:50:90","Shot",5,11,"Pacific",23,"Location 1","Direct","Normal","Right","Save","Field Blocker",2,4,10,2,5.5,1.799805013,5.055552588,5.852349955,0.348771004,"Not Goal"
"6",6,"00:00:51:10","00:01:01:10","Shot",6,11,"Michigan",63,"Location 1","Drive","Lob","Right","Goal","Pressured",4,3,12,-1,2.5,-0.822634266,2.588460448,2.692582404,-0.380506377,"Goal"
"7",7,"00:01:01:30","00:01:11:30","Shot",7,11,"Michigan",16,"Location 3","Post up","Backhand","Right","Save","Contested",2,4,12,2,3.5,1.636770408,3.524703157,4.031128874,0.519146114,"Not Goal"
"8",8,"00:01:11:50","00:01:21:50","Shot",8,11,"Pacific",41,"Location 2","Transition","Normal","Right","Save","Field Blocker",2,4,10,-2,5.5,-1.894555046,5.788858847,5.852349955,-0.348771004,"Not Goal"
"9",9,"00:01:21:70","00:01:31:70","Shot",9,11,"Michigan",32,"Location 2","Perimeter","Lob","Right","Goal","Field Blocker",5,3,10,0,5.5,0.22118239,5.092763786,5.5,0,"Goal"
"10",10,"00:01:31:90","00:01:40:40","Shot",10,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Save","Field Blocker",3,3,7,2,2.5,1.697547211,2.965213255,3.201562119,0.674740942,"Not Goal"
"11",11,"00:01:40:40","00:01:48:90","Shot",11,11,"Pacific",51,"Location 5","6 on 5","Normal","Right","Goal","Field Blocker",4,3,10,-2,2.5,-1.741247836,2.614250176,3.201562119,-0.674740942,"Goal"
"12",12,"00:01:49:10","00:01:59:10","Shot",12,11,"Michigan",33,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,11,-1,5.5,-0.987247337,5.349758017,5.590169944,-0.1798535,"Not Goal"
"13",13,"00:01:59:31","00:02:09:31","Shot",13,11,"Michigan",51,"Location 4","First Wave","Normal","Left","Goal","Pressured",4,2,18,-2,2.5,-2.225042846,2.910406129,3.201562119,-0.674740942,"Goal"
"14",14,"00:02:09:51","00:02:19:51","Shot",14,11,"Pacific",31,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",5,3,5,1,5.5,1.372312115,5.373884104,5.590169944,0.1798535,"Goal"
"15",15,"00:02:19:71","00:02:29:71","Shot",15,11,"Michigan",23,"Location 1","Perimeter","Normal","Right","Save","Field Blocker",2,4,12,2,5.5,2.282922859,5.189436983,5.852349955,0.348771004,"Not Goal"
"16",16,"00:02:29:91","00:02:39:91","Shot",16,11,"Pacific",13,"Location 2","Transition","Normal","Right","Save","Contested",3,4,10,2,2.5,1.550862471,2.537532811,3.201562119,0.674740942,"Not Goal"
"17",17,"00:02:40:11","00:02:50:11","Shot",17,11,"Michigan",13,"Location 2","6 on 5","Normal","Right","Miss","Blocker at Distance",1,3,4,2,2.5,2.465047512,2.132397281,3.201562119,0.674740942,"Not Goal"
"18",18,"00:02:50:31","00:03:00:31","Shot",18,11,"Michigan",33,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,10,-1,5.5,-1.123316477,5.58319058,5.590169944,-0.1798535,"Not Goal"
"19",19,"00:03:00:51","00:03:10:51","Shot",19,11,"Pacific",31,"Location 4","Direct","Normal","Right","Save","Field Blocker",2,4,7,1,5.5,0.827931195,5.312457103,5.590169944,0.1798535,"Not Goal"
"20",20,"00:03:10:71","00:03:20:71","Shot",20,11,"Michigan",61,"Location 2","Double Post","Normal","Right","Miss","Contested",1,3,3,1,2.5,0.767128485,2.84937943,2.692582404,0.380506377,"Not Goal"
"21",21,"00:03:20:91","00:03:30:91","Shot",21,11,"Pacific",47,"Location 1","Shot Clock","Lob","Right","Save","Contested",1,5,10,-2,7.5,-2.092953964,7.398507424,7.762087348,-0.260602392,"Not Goal"
"22",22,"00:03:31:11","00:03:41:11","Shot",22,11,"Michigan",52,"Location 5","Perimeter","Skip","Left","Goal","Contested",3,3,18,-3,2.5,-2.813363211,2.380615502,3.905124838,-0.876058051,"Goal"
"23",23,"00:03:41:32","00:03:51:32","Shot",23,11,"Pacific",19,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,3,4,2,4.5,2.206450268,4.83849724,4.924428901,0.41822433,"Not Goal"
"24",24,"00:03:51:52","00:04:01:52","Shot",24,11,"Michigan",12,"Location 4","First Wave","Normal","Right","Miss","Field Blocker",1,3,10,3,2.5,3.495406872,2.947864704,3.905124838,0.876058051,"Not Goal"
"25",25,"00:04:01:72","00:04:11:72","Shot",25,11,"Pacific",57,"Location 2","6 on 5","Skip","Right","Goal","Field Blocker",3,3,10,-2,4.5,-1.516803264,4.085236352,4.924428901,-0.41822433,"Goal"
"26",26,"00:04:11:92","00:04:21:92","Shot",26,11,"Michigan",33,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",3,4,10,-1,5.5,-0.880174238,5.303855049,5.590169944,-0.1798535,"Goal"
"27",27,"00:04:22:12","00:04:32:12","Shot",27,11,"Michigan",13,"Location 2","First Wave","Skip","Right","Goal","Uncontested",4,2,15,2,2.5,2.493978213,2.836180642,3.201562119,0.674740942,"Goal"
"28",28,"00:04:32:32","00:04:42:32","Shot",28,11,"Pacific",61,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",4,2,4,1,2.5,0.620386368,2.152271184,2.692582404,0.380506377,"Goal"
"29",29,"00:04:42:52","00:04:52:52","Shot",29,11,"Michigan",23,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,15,2,5.5,2.410057125,5.670648529,5.852349955,0.348771004,"Not Goal"
"30",30,"00:04:52:72","00:05:02:72","Shot",30,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,5,0,5.5,0.441080503,5.413458067,5.5,0,"Goal"
"31",31,"00:05:02:93","00:05:12:93","Shot",31,11,"Pacific",3,"Location 6","6 on 5","Normal","Right","Save","Field Blocker",2,4,10,2,1,2.078279524,0.619722266,2.236067977,1.107148718,"Not Goal"
"32",32,"00:05:13:13","00:05:23:13","Shot",32,11,"Michigan",32,"Location 4","Perimeter","Normal","Right","Field Block","Contested",1,4,10,0,5.5,-0.11145284,5.213974151,5.5,0,"Not Goal"
"33",33,"00:05:23:33","00:05:33:33","Shot",33,11,"Pacific",32,"Location 5","6 on 5","Normal","Right","Save","Pressured",3,3,5,0,5.5,-0.399193062,5.84759671,5.5,0,"Not Goal"
"34",34,"00:05:33:53","00:05:43:53","Shot",34,11,"Michigan",62,"Location 6","Center","Normal","Right","Save","Contested",1,3,10,0,2.5,-0.362579364,2.014445986,2.5,0,"Not Goal"
"35",35,"00:05:43:73","00:05:53:73","Shot",35,11,"Michigan",51,"Location 4","First Wave","Normal","Left","Goal","Uncontested",5,1,18,-2,2.5,-2.190890292,2.669031355,3.201562119,-0.674740942,"Goal"
"36",36,"00:05:53:93","00:06:03:93","Shot",36,11,"Michigan",32,"Location 2","Perimeter","Skip","Right","Miss","Field Blocker",1,4,4,0,5.5,-0.328440598,5.051559205,5.5,0,"Not Goal"
"37",37,"00:06:04:13","00:06:14:13","Shot",37,11,"Pacific",68,"Location 4","6 on 5","Normal","Right","Miss","Field Blocker",1,3,5,0,4.5,0.190337568,4.757178355,4.5,0,"Not Goal"
"38",38,"00:06:14:33","00:06:24:33","Shot",38,11,"Pacific",23,"Location 1","6 on 5","Normal","Right","Goal","Field Blocker",2,3,7,2,5.5,1.942405148,5.553527655,5.852349955,0.348771004,"Goal"
"39",39,"00:06:24:53","00:06:34:53","Shot",39,11,"Michigan",63,"Location 5","Post up","Normal","Right","Save","Pressured",3,3,10,-1,2.5,-1.25537668,2.681808704,2.692582404,-0.380506377,"Not Goal"
"40",40,"00:06:34:73","00:06:44:73","Shot",40,11,"Pacific",33,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",3,4,10,-1,5.5,-1.021846375,5.601427543,5.590169944,-0.1798535,"Goal"
"41",41,"00:06:44:93","00:06:54:93","Shot",41,11,"Michigan",51,"Location 1","Perimeter","Skip","Left","Miss","Uncontested",1,2,18,-2,2.5,-2.06931932,2.22161325,3.201562119,-0.674740942,"Not Goal"
"42",42,"00:06:55:14","00:07:05:14","Shot",42,11,"Pacific",66,"Location 4","6 on 5","Normal","Right","Goal","Contested",3,3,2,-1,3.5,-1.020940646,3.657537877,3.640054945,-0.278299659,"Goal"
"43",43,"00:07:05:34","00:07:15:34","Shot",43,11,"Michigan",33,"Location 5","Perimeter","Normal","Right","Goal","Field Blocker",3,4,4,-1,5.5,-1.368652576,5.8460253,5.590169944,-0.1798535,"Goal"
"44",44,"00:07:15:54","00:07:25:54","Shot",44,11,"Michigan",57,"Location 6","Perimeter","Skip","Left","Save","Field Blocker",2,4,18,-2,4.5,-1.520440381,4.833764683,4.924428901,-0.41822433,"Not Goal"
"45",45,"00:07:25:74","00:07:35:74","Shot",45,11,"Michigan",33,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,3,4,-1,5.5,-0.591927747,5.117797792,5.590169944,-0.1798535,"Not Goal"
"46",46,"00:07:35:94","00:07:45:94","Shot",46,11,"Pacific",13,"Location 6","Individual","Skip","Right","Save","Pressured",1,3,2,2,2.5,1.957667381,2.813325025,3.201562119,0.674740942,"Not Goal"
"47",47,"00:07:46:14","00:07:56:14","Shot",47,11,"Michigan",63,"Location 3","6 on 5","Normal","Right","Save","Contested",3,3,10,-1,2.5,-0.935641465,2.903221867,2.692582404,-0.380506377,"Not Goal"
"48",48,"00:07:56:34","00:07:59:81","Shot",48,11,"Michigan",7,"Location 4","6 on 5","Normal","Left","Field Block","Field Blocker",1,2,18,-2,1,-1.905444722,0.510608063,2.236067977,-1.107148718,"Not Goal"
"49",49,"00:07:59:81","00:08:05:94","Shot",49,11,"Michigan",4,"Location 4","Rebound","Normal","Right","Goal","Contested",5,1,3,1,1,0.963010346,1.096112349,1.414213562,0.785398163,"Goal"
"50",50,"00:08:05:94","00:08:09:41","Shot",50,11,"Michigan",63,"Location 3","Rebound","Normal","Right","Field Block","Field Blocker",1,2,10,-1,2.5,-0.54068943,2.728415326,2.692582404,-0.380506377,"Not Goal"
"51",51,"00:08:09:61","00:08:19:61","Shot",51,11,"Michigan",64,"Location 2","Post up","Normal","Right","New Clock","Contested",3,3,10,1,3.5,1.014128589,3.337338787,3.640054945,0.278299659,"Not Goal"
"52",52,"00:08:19:81","00:08:29:81","Shot",52,11,"Michigan",13,"Location 2","6 on 5","Skip","Right","Goal","Field Blocker",4,2,15,2,2.5,1.5971401,2.497772989,3.201562119,0.674740942,"Goal"
"53",53,"00:08:30:01","00:08:40:01","Shot",53,11,"Michigan",31,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,15,1,5.5,0.959757896,5.208205799,5.590169944,0.1798535,"Not Goal"
"54",54,"00:08:40:21","00:08:50:21","Shot",54,11,"Pacific",31,"Location 1","Perimeter","Skip","Right","Miss","Contested",1,4,5,1,5.5,1.061688617,5.990174344,5.590169944,0.1798535,"Not Goal"
"55",55,"00:08:50:41","00:09:00:41","Shot",55,11,"Michigan",57,"Location 2","Perimeter","Lob","Left","Goal","Field Blocker",3,3,18,-2,4.5,-1.75579905,4.81176727,4.924428901,-0.41822433,"Goal"
"56",56,"00:09:00:62","00:09:10:62","Shot",56,11,"Pacific",33,"Location 4","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,10,-1,5.5,-0.96029577,5.176890955,5.590169944,-0.1798535,"Not Goal"
"57",57,"00:09:10:82","00:09:20:82","Shot",57,11,"Michigan",31,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,12,1,5.5,1.057438965,5.347722296,5.590169944,0.1798535,"Not Goal"
"58",58,"00:09:21:02","00:09:31:02","Shot",58,11,"Pacific",32,"Location 4","Perimeter","Skip","Right","Miss","Contested",1,4,5,0,5.5,-0.356736762,5.576937319,5.5,0,"Not Goal"
"59",59,"00:09:31:22","00:09:41:22","Shot",59,11,"Michigan",66,"Location 2","Individual","Lob","Right","Miss","Pressured",1,2,12,-1,3.5,-0.90337102,3.537452144,3.640054945,-0.278299659,"Not Goal"
"60",60,"00:09:41:42","00:09:51:42","Shot",60,10,"CAL",31,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,2,NA,1,5.5,1.145215298,5.088280887,5.590169944,0.1798535,"Not Goal"
"61",61,"00:09:51:62","00:10:01:62","Shot",61,10,"CAL",63,"Location 1","First Wave","Skip","Left","Goal","Uncontested",5,1,NA,-1,2.5,-1.238411553,2.564187037,2.692582404,-0.380506377,"Goal"
"62",62,"00:10:01:82","00:10:11:82","Shot",62,11,"Pacific",63,"Location 3","6 on 5","Normal","Right","Save","Pressured",4,2,15,-1,2.5,-0.826684185,2.945936704,2.692582404,-0.380506377,"Not Goal"
"63",63,"00:10:12:02","00:10:22:02","Shot",63,10,"CAL",54,"Location 2","Perimeter","Normal","Left","Save","Field Blocker",3,3,NA,-2,3.5,-2.192598157,3.254124112,4.031128874,-0.519146114,"Not Goal"
"64",64,"00:10:22:22","00:10:32:22","Shot",64,10,"CAL",65,"Location 4","Center","Normal","Right","Goal","Contested",4,3,NA,0,3.5,-0.389249212,3.135292976,3.5,0,"Goal"
"65",65,"00:10:32:42","00:10:42:42","Shot",65,11,"Pacific",69,"Location 1","Post up","Normal","Right","Save","Contested",2,3,15,-1,4.5,-0.746134957,4.84648426,4.609772229,-0.218668946,"Not Goal"
"66",66,"00:10:42:62","00:10:52:62","Shot",66,11,"Pacific",69,"Location 4","6 on 5","Normal","Right","Miss","Field Blocker",1,3,5,-1,4.5,-1.447061846,4.822018443,4.609772229,-0.218668946,"Not Goal"
"67",67,"00:10:52:82","00:11:02:82","Shot",67,10,"CAL",68,"Location 2","6 on 5","Normal","Right","Save","Field Blocker",4,2,NA,0,4.5,-0.126165703,4.576914341,4.5,0,"Not Goal"
"68",68,"00:11:03:02","00:11:13:02","Shot",68,11,"Pacific",66,"Location 6","Double Post","Backhand","Right","Save","Contested",2,3,5,-1,3.5,-0.824974167,3.951342946,3.640054945,-0.278299659,"Not Goal"
"69",69,"00:11:13:22","00:11:23:22","Shot",69,10,"CAL",51,"Location 5","First Wave","Skip","Left","Save","Pressured",4,2,NA,-2,2.5,-2.213814308,2.826858001,3.201562119,-0.674740942,"Not Goal"
"70",70,"00:11:23:42","00:11:33:42","Shot",70,10,"CAL",23,"Location 4","Perimeter","Lob","Right","Miss","Contested",1,4,NA,2,5.5,1.785084608,5.885255453,5.852349955,0.348771004,"Not Goal"
"71",71,"00:11:33:62","00:11:43:62","Shot",71,10,"CAL",12,"Location 1","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,3,2.5,2.880038674,2.519905134,3.905124838,0.876058051,"Goal"
"72",72,"00:11:43:83","00:11:53:83","Shot",72,11,"Pacific",32,"Location 4","Perimeter","Normal","Right","Save","Contested",3,4,5,0,5.5,0.456716135,5.265382738,5.5,0,"Not Goal"
"73",73,"00:11:54:03","00:12:04:03","Shot",73,10,"CAL",41,"Off Target","Perimeter","Normal","Left","Field Block","Contested",1,4,NA,-2,5.5,-2.014889372,5.006879497,5.852349955,-0.348771004,"Not Goal"
"74",74,"00:12:04:23","00:12:14:23","Shot",74,11,"Pacific",42,"Location 2","Perimeter","Lob","Right","Miss","Field Blocker",1,4,5,-3,5.5,-3.4922202,5.802902709,6.264982043,-0.499346722,"Not Goal"
"75",75,"00:12:14:43","00:12:24:43","Shot",75,10,"CAL",41,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,-2,5.5,-1.679855969,5.691836016,5.852349955,-0.348771004,"Not Goal"
"76",76,"00:12:24:63","00:12:34:63","Shot",76,10,"CAL",44,"Location 5","Perimeter","Normal","Left","Miss","Blocker at Distance",1,4,NA,-2,6.5,-1.75147237,6.830765049,6.800735254,-0.298498932,"Not Goal"
"77",77,"00:12:34:83","00:12:44:83","Shot",77,10,"CAL",23,"Location 4","Perimeter","Lob","Right","Save","Contested",3,4,NA,2,5.5,2.131014206,5.472757048,5.852349955,0.348771004,"Not Goal"
"78",78,"00:12:45:03","00:12:55:03","Shot",78,11,"Pacific",51,"Location 2","Perimeter","Lob","Right","Goal","Field Blocker",4,4,7,-2,2.5,-1.646572548,2.26333876,3.201562119,-0.674740942,"Goal"
"79",79,"00:12:55:23","00:13:05:23","Shot",79,10,"CAL",35,"Location 4","Perimeter","Normal","Left","Goal","Field Blocker",2,4,NA,0,6.5,-0.029904129,6.294779078,6.5,0,"Goal"
"80",80,"00:13:05:43","00:13:15:43","Shot",80,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,3,15,2,4.5,2.369708779,4.674818411,4.924428901,0.41822433,"Not Goal"
"81",81,"00:13:15:63","00:13:25:63","Shot",81,10,"CAL",31,"Location 5","Perimeter","Normal","Right","Save","Field Blocker",2,4,NA,1,5.5,1.443932036,5.899363465,5.590169944,0.1798535,"Not Goal"
"82",82,"00:13:25:83","00:13:35:83","Shot",82,11,"Pacific",32,"Location 4","Direct","Normal","Right","Miss","Field Blocker",1,3,7,0,5.5,-0.300006986,5.215975572,5.5,0,"Not Goal"
"83",83,"00:13:36:03","00:13:46:03","Shot",83,11,"Pacific",57,"Location 5","6 on 5","Skip","Right","Goal","Blocker at Distance",3,3,10,-2,4.5,-2.469799621,4.667270917,4.924428901,-0.41822433,"Goal"
"84",84,"00:13:46:24","00:13:56:24","Shot",84,10,"CAL",67,"Location 5","Center","Normal","Right","Save","Contested",3,3,NA,1,4.5,0.688696073,4.730707521,4.609772229,0.218668946,"Not Goal"
"85",85,"00:13:56:44","00:14:06:44","Shot",85,11,"Pacific",19,"Location 1","Second Wave","Normal","Right","Save","Contested",2,4,5,2,4.5,1.81792406,4.126910334,4.924428901,0.41822433,"Not Goal"
"86",86,"00:14:06:64","00:14:16:64","Shot",86,11,"Pacific",35,"Location 1","Perimeter","Skip","Right","Miss","Field Blocker",1,4,10,0,6.5,0.366141331,6.802475342,6.5,0,"Not Goal"
"87",87,"00:14:16:84","00:14:26:84","Shot",87,10,"CAL",65,"Location 5","Center","Normal","Right","Goal","Contested",4,3,NA,0,3.5,0.131583929,3.230680838,3.5,0,"Goal"
"88",88,"00:14:27:04","00:14:37:04","Shot",88,10,"CAL",68,"Off Target","Center","Backhand","Right","Miss","Contested",1,3,NA,0,4.5,0.067584671,4.691183975,4.5,0,"Not Goal"
"89",89,"00:14:37:24","00:14:47:24","Shot",89,10,"CAL",26,"Location 4","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,2,6.5,1.59602116,6.910061195,6.800735254,0.298498932,"Not Goal"
"90",90,"00:14:47:44","00:14:57:44","Shot",90,11,"Pacific",41,"Location 6","Perimeter","Skip","Right","Save","Field Blocker",1,4,5,-2,5.5,-1.735020691,5.165080572,5.852349955,-0.348771004,"Not Goal"
"91",91,"00:14:57:64","00:15:07:64","Shot",91,10,"CAL",54,"Location 1","Unknown","Lob","Right","Goal","Contested",5,2,NA,-2,3.5,-2.226806306,3.038859708,4.031128874,-0.519146114,"Goal"
"92",92,"00:15:07:84","00:15:17:84","Shot",92,11,"Pacific",15,"Location 4","Perimeter","Lob","Right","Miss","Pressured",1,3,7,3,3.5,3.311164479,3.502855847,4.609772229,0.708626272,"Not Goal"
"93",93,"00:15:18:04","00:15:28:04","Shot",93,10,"CAL",41,"Location 2","Perimeter","Lob","Left","Save","Contested",2,4,NA,-2,5.5,-2.241342511,5.726645823,5.852349955,-0.348771004,"Not Goal"
"94",94,"00:15:28:24","00:15:38:24","Shot",94,10,"Pacific",32,"Location 5","Penalty","Skip","Right","Goal","Other",5,1,NA,0,5.5,0.046310972,5.686463714,5.5,0,"Goal"
"95",95,"00:15:38:44","00:15:48:44","Shot",95,10,"CAL",12,"Location 6","Perimeter","Skip","Right","Save","Field Blocker",2,4,NA,3,2.5,3.006176207,2.790461016,3.905124838,0.876058051,"Not Goal"
"96",96,"00:15:48:65","00:15:58:65","Shot",96,10,"CAL",13,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,3,NA,2,2.5,2.172183808,2.478482947,3.201562119,0.674740942,"Not Goal"
"97",97,"00:15:58:85","00:16:08:85","Shot",97,10,"CAL",23,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,2,5.5,1.916089135,5.40425786,5.852349955,0.348771004,"Not Goal"
"98",98,"00:16:09:05","00:16:19:05","Shot",98,11,"Pacific",69,"Location 6","Transition","Backhand","Right","Save","Contested",1,4,10,-1,4.5,-0.661311792,4.758248467,4.609772229,-0.218668946,"Not Goal"
"99",99,"00:16:19:25","00:16:29:25","Shot",99,10,"CAL",58,"Location 2","Perimeter","Normal","Left","Goal","Field Blocker",3,3,NA,-3,4.5,-3.481296553,4.988390453,5.408326913,-0.588002604,"Goal"
"100",100,"00:16:29:45","00:16:39:45","Shot",100,11,"Pacific",57,"Location 2","6 on 5","Skip","Right","Goal","Field Blocker",3,3,10,-2,4.5,-2.496200758,4.875850522,4.924428901,-0.41822433,"Goal"
"101",101,"00:16:39:65","00:16:49:65","Shot",101,10,"CAL",58,"Location 4","Perimeter","Skip","Left","Miss","Field Blocker",1,3,NA,-3,4.5,-2.66136454,4.570715144,5.408326913,-0.588002604,"Not Goal"
"102",102,"00:16:49:85","00:16:59:85","Shot",102,11,"Pacific",41,"Location 5","Transition","Skip","Right","New Clock","Contested",2,4,5,-2,5.5,-2.487102461,5.655580791,5.852349955,-0.348771004,"Not Goal"
"103",103,"00:17:00:05","00:17:10:05","Shot",103,11,"Pacific",69,"Location 1","Post up","Skip","Right","Goal","Contested",3,3,15,-1,4.5,-1.063799015,4.704159271,4.609772229,-0.218668946,"Goal"
"104",104,"00:17:10:25","00:17:20:25","Shot",104,10,"CAL",64,"Location 2","Transition","Normal","Right","Goal","Field Blocker",4,2,NA,1,3.5,1.044010399,3.555776081,3.640054945,0.278299659,"Goal"
"105",105,"00:17:20:46","00:17:30:46","Shot",105,10,"CAL",32,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,0,5.5,0.090519696,5.190684638,5.5,0,"Not Goal"
"106",106,"00:17:30:66","00:17:40:66","Shot",106,10,"CAL",63,"Location 2","Center","Lob","Left","Miss","Contested",1,3,NA,-1,2.5,-0.759038058,2.017845635,2.692582404,-0.380506377,"Not Goal"
"107",107,"00:17:40:86","00:17:50:86","Shot",107,11,"Pacific",33,"Location 5","Perimeter","Skip","Left","Save","Field Blocker",2,4,6,-1,5.5,-1.127629131,5.275832787,5.590169944,-0.1798535,"Not Goal"
"108",108,"00:17:51:06","00:18:01:06","Shot",108,11,"Pacific",55,"Location 3","Perimeter","Normal","Left","New Clock","Field Blocker",2,4,12,-3,3.5,-2.541916954,3.614409662,4.609772229,-0.708626272,"Not Goal"
"109",109,"00:18:01:26","00:18:07:23","Shot",109,11,"Pacific",13,"Location 6","6 on 5","Normal","Right","New Clock","Field Blocker",2,3,15,2,2.5,1.770071187,2.026213626,3.201562119,0.674740942,"Not Goal"
"110",110,"00:18:07:23","00:18:14:75","Shot",110,10,"Pacific",32,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,3,7,0,5.5,0.096967421,5.448144287,5.5,0,"Not Goal"
"111",111,"00:18:14:75","00:18:23:64","Shot",111,11,"Pacific",63,"Location 4","Unknown","Normal","Right","Goal","Pressured",5,1,4,-1,2.5,-0.517257671,2.353628348,2.692582404,-0.380506377,"Goal"
"112",112,"00:18:23:84","00:18:33:84","Shot",112,10,"CAL",13,"Location 5","Drive","Skip","Right","Save","Uncontested",5,1,NA,2,2.5,1.51073244,2.316873947,3.201562119,0.674740942,"Not Goal"
"113",113,"00:18:34:04","00:18:44:04","Shot",113,11,"Pacific",62,"Location 1","Unknown","Normal","Left","Goal","Contested",4,5,4,0,2.5,0.470805402,2.66452053,2.5,0,"Goal"
"114",114,"00:18:44:24","00:18:54:24","Shot",114,10,"CAL",33,"Location 5","Individual","Skip","Left","Goal","Pressured",3,3,NA,-1,5.5,-1.260481175,5.169655567,5.590169944,-0.1798535,"Goal"
"115",115,"00:18:54:44","00:19:04:44","Shot",115,11,"Pacific",36,"Location 1","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,5,-1,6.5,-1.161923215,6.751369155,6.576473219,-0.152649328,"Not Goal"
"116",116,"00:19:04:64","00:19:14:64","Shot",116,10,"CAL",19,"Off Target","6 on 5","Normal","Right","Field Block","Field Blocker",1,2,NA,2,4.5,2.425279229,4.150017848,4.924428901,0.41822433,"Not Goal"
"117",117,"00:19:14:84","00:19:24:84","Shot",117,11,"Pacific",32,"Location 1","Perimeter","Lob","Right","Save","Contested",1,4,5,0,5.5,-0.29415741,5.47921305,5.5,0,"Not Goal"
"118",118,"00:19:25:05","00:19:35:05","Shot",118,10,"CAL",203,"Location 1","Shot Clock","Skip","Left","Miss","Uncontested",1,5,NA,2,1,2.158176664,0.753224857,2.236067977,1.107148718,"Not Goal"
"119",119,"00:19:35:24","00:19:45:24","Shot",119,10,"UC Davis",41,"Location 2","Perimeter","Lob","Right","Miss","Field Blocker",1,4,NA,-2,5.5,-2.225089278,5.351864617,5.852349955,-0.348771004,"Not Goal"
"120",120,"00:19:45:45","00:19:55:45","Shot",120,11,"Pacific",41,"Location 1","Direct","Skip","Right","Goal","Uncontested",2,4,10,-2,5.5,-2.398785707,5.911897764,5.852349955,-0.348771004,"Goal"
"121",121,"00:19:55:65","00:20:05:65","Shot",121,10,"UC Davis",65,"Location 3","First Wave","Lob","Right","Save","Pressured",2,3,NA,0,3.5,0.049432809,3.817065766,3.5,0,"Not Goal"
"122",122,"00:20:05:85","00:20:15:85","Shot",122,11,"Pacific",15,"Location 4","Second Wave","Lob","Right","Goal","Field Blocker",3,3,7,3,3.5,3.285612635,3.327931373,4.609772229,0.708626272,"Goal"
"123",123,"00:20:16:05","00:20:26:05","Shot",123,10,"UC Davis",23,"Location 5","Perimeter","Normal","Right","Save","Field Blocker",2,4,NA,2,5.5,2.359911155,5.331430829,5.852349955,0.348771004,"Not Goal"
"124",124,"00:20:26:25","00:20:36:25","Shot",124,10,"UC Davis",41,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,4,NA,-2,5.5,-2.403163374,5.935673965,5.852349955,-0.348771004,"Not Goal"
"125",125,"00:20:36:45","00:20:46:45","Shot",125,11,"Pacific",41,"Location 2","Direct","Lob","Right","Goal","Field Blocker",4,4,5,-2,5.5,-1.705840755,5.67744774,5.852349955,-0.348771004,"Goal"
"126",126,"00:20:46:65","00:20:56:65","Shot",126,10,"UC Davis",31,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,NA,1,5.5,0.949290776,5.343641351,5.590169944,0.1798535,"Not Goal"
